,algorithm_1,algorithm_2,user_id,jaccard_similarity
0,base,cp,2KCJJZJ8TQ,0.5151515151515151
1,base,fair,2KCJJZJ8TQ,0.8518518518518519
2,cp,fair,2KCJJZJ8TQ,0.5625
3,base,cp,38X219FT3Y,0.5625
4,base,fair,38X219FT3Y,0.0416666666666666
5,cp,fair,38X219FT3Y,0.1904761904761904
6,base,cp,4JN9C5HJU4,0.3513513513513513
7,base,fair,4JN9C5HJU4,0.0416666666666666
8,cp,fair,4JN9C5HJU4,0.282051282051282
9,base,cp,4JUIIVYHRN,0.4285714285714285
10,base,fair,4JUIIVYHRN,0.0416666666666666
11,cp,fair,4JUIIVYHRN,0.3157894736842105
12,base,cp,50D6P5Z9M0,0.3888888888888889
13,base,fair,50D6P5Z9M0,0.0416666666666666
14,cp,fair,50D6P5Z9M0,0.3157894736842105
15,base,cp,606AAQAJU6,0.3888888888888889
16,base,fair,606AAQAJU6,0.0416666666666666
17,cp,fair,606AAQAJU6,0.2195121951219512
18,base,cp,6XNM0KB28G,0.6129032258064516
19,base,fair,6XNM0KB28G,0.1904761904761904
20,cp,fair,6XNM0KB28G,0.3157894736842105
21,base,cp,9SJYDK30YP,0.4285714285714285
22,base,fair,9SJYDK30YP,0.0416666666666666
23,cp,fair,9SJYDK30YP,0.1904761904761904
24,base,cp,AE841B2FOZ,0.4285714285714285
25,base,fair,AE841B2FOZ,0.0416666666666666
26,cp,fair,AE841B2FOZ,0.282051282051282
27,base,cp,B44P0PXVWX,0.3888888888888889
28,base,fair,B44P0PXVWX,0.0416666666666666
29,cp,fair,B44P0PXVWX,0.282051282051282
30,base,cp,BQRVR7N6N0,0.4705882352941176
31,base,fair,BQRVR7N6N0,0.3888888888888889
32,cp,fair,BQRVR7N6N0,0.5151515151515151
33,base,cp,C0MO9CFU9G,0.3888888888888889
34,base,fair,C0MO9CFU9G,0.0416666666666666
35,cp,fair,C0MO9CFU9G,0.25
36,base,cp,D3SW55DCFH,0.5625
37,base,fair,D3SW55DCFH,0.0416666666666666
38,cp,fair,D3SW55DCFH,0.1904761904761904
39,base,cp,DBJ2VO1P3O,0.3513513513513513
40,base,fair,DBJ2VO1P3O,0.0416666666666666
41,cp,fair,DBJ2VO1P3O,0.282051282051282
42,base,cp,G2WKWJH2HY,0.3157894736842105
43,base,fair,G2WKWJH2HY,0.0416666666666666
44,cp,fair,G2WKWJH2HY,0.3888888888888889
