,user_id,condition,post_num,user_type,rec_mean_interactions,rec_median_interactions,rec_popularity_lift,rec_jensen_shannon,rec_head_ratio,rec_mid_ratio,rec_tail_ratio,prof_mean_interactions,prof_median_interactions,prof_num_interactions,prof_head_ratio,prof_mid_ratio,prof_tail_ratio,time_spent,choice_mean_interactions,choice_median_interactions,choice_popularity_lift,choice_jensen_shannon,choice_head_ratio,choice_mid_ratio,choice_tail_ratio,Q_MusicalSophistication,Q_MusicalEngagement,Q_Perceived_Popularity,Q_PerceivedFairness,Q_Discovery,Q_Familiarity,Q_PerceivedRecommendationQuality,Q_RecommendationSatisfaction,Q_ChoiceSatisfaction,Q_PerceivedSystemEffectiveness,Q_OpennessSimilarRecommendations,Q_UseIntention,Q_ChoiceListeningIntention
0,38X219FT3Y,cp,0,Diverse,586.24,292.0,-0.1986823676858403,0.0072292495431353,0.16,0.6,0.24,731.5950334288443,138.0,1047,0.1537726838586437,0.5176695319961796,0.3285577841451766,255,605.4,487.0,-0.17249301548343302,0.11026630835522519,0.0,0.8,0.2,1.1666666666666665,-0.4444444444444444,-0.4,1.0,0.8,1.0,2.142857142857143,1.8571428571428568,1.875,1.9999999999999996,2.1999999999999997,2.0,2.0
1,38X219FT3Y,fair,1,Diverse,93.24,51.0,-0.8725524426225227,0.3112236512053622,0.0,0.08,0.92,731.5950334288443,138.0,1047,0.1537726838586437,0.5176695319961796,0.3285577841451766,298,277.0,53.0,-0.621375231729288,0.11138481345748888,0.0,0.4,0.6,1.1666666666666665,-0.4444444444444444,-1.6,0.3333333333333333,1.0,-0.8,1.4285714285714286,0.5714285714285714,1.25,1.714285714285714,1.0,2.0,1.5
2,38X219FT3Y,base,2,Diverse,670.36,542.0,-0.0837007232564818,0.2000534443019266,0.12,0.88,0.0,731.5950334288443,138.0,1047,0.1537726838586437,0.5176695319961796,0.3285577841451766,162,646.0,487.0,-0.11699783284158856,0.297422931418087,0.0,1.0,0.0,1.1666666666666665,-0.4444444444444444,-1.2000000000000002,-0.3333333333333333,0.8,0.2,1.714285714285714,1.2857142857142856,1.375,1.9999999999999996,0.8,2.0,2.0
3,OEVQITG1UM,fair,0,Diverse,115.72,50.0,-0.8532627633130853,0.2071032463522153,0.0,0.08,0.92,788.6205479452054,62.0,730,0.1438356164383561,0.3904109589041096,0.4657534246575342,419,48.2,51.0,-0.938880618663072,0.33899948932957213,0.0,0.0,1.0,-0.8888888888888891,-0.7777777777777779,1.0,-0.3333333333333333,-0.19999999999999996,1.2,1.9999999999999996,0.5714285714285714,1.0,2.0,0.8,0.6666666666666666,2.5
4,OEVQITG1UM,cp,1,Diverse,539.88,445.0,-0.3154122075481202,0.0167939821690089,0.16,0.52,0.32,788.6205479452054,62.0,730,0.1438356164383561,0.3904109589041096,0.4657534246575342,191,209.0,212.0,-0.7349802759456863,0.08983910608964868,0.0,0.6,0.4,-0.8888888888888891,-0.7777777777777779,0.8,0.3333333333333333,-1.7999999999999998,0.7999999999999999,-1.2857142857142856,-1.8571428571428568,-1.5,-0.7142857142857142,-0.20000000000000007,-1.0,-1.0
5,OEVQITG1UM,base,2,Diverse,710.6,677.0,-0.0989329382153334,0.3447513306320992,0.04,0.96,0.0,788.6205479452054,62.0,730,0.1438356164383561,0.3904109589041096,0.4657534246575342,139,1065.6,1037.0,0.35122018158984036,0.28808335645809136,0.2,0.8,0.0,-0.8888888888888891,-0.7777777777777779,0.2,-0.6666666666666666,-1.0,0.9999999999999999,-1.1428571428571428,-1.5714285714285712,-1.5,-0.7142857142857142,-1.0,-0.6666666666666666,-2.0
6,Z906VCU2V3,cp,0,Niche,473.92,294.0,-0.1078335671657417,0.0056214462479644,0.12,0.56,0.32,531.2013348164627,96.0,899,0.0945494994438264,0.5027808676307007,0.4026696329254727,170,320.6,160.0,-0.3964623599623075,0.05037306278151547,0.0,0.6,0.4,-1.1666666666666667,0.6666666666666667,-1.6,1.0,1.6,-1.8,2.8571428571428568,2.4285714285714284,2.125,2.2857142857142856,2.0000000000000004,0.3333333333333333,2.0
7,Z906VCU2V3,fair,1,Niche,78.04,50.0,-0.8530877185635012,0.2454817711362764,0.0,0.08,0.92,531.2013348164627,96.0,899,0.0945494994438264,0.5027808676307007,0.4026696329254727,110,42.4,44.0,-0.9201809234635117,0.39340744378812176,0.0,0.0,1.0,-1.1666666666666667,0.6666666666666667,-1.4,0.3333333333333333,1.7999999999999998,-1.6,2.2857142857142856,0.9999999999999998,1.375,1.8571428571428568,2.8000000000000003,0.0,2.0
8,Z906VCU2V3,base,2,Niche,642.84,499.0,0.2101626217150038,0.2400156775294154,0.12,0.88,0.0,531.2013348164627,96.0,899,0.0945494994438264,0.5027808676307007,0.4026696329254727,146,539.2,294.0,0.015057690294210203,0.2399310334702512,0.2,0.8,0.0,-1.1666666666666667,0.6666666666666667,-1.6,2.333333333333333,-1.2,-1.4000000000000001,-0.42857142857142855,-2.4285714285714284,-1.75,-1.2857142857142856,-0.8,-2.0,-2.5
9,VK4SJEZ4YH,base,0,Niche,480.92,456.0,-0.3068497879286812,0.2423042322046185,0.0,1.0,0.0,693.817864619679,182.0,1433,0.1256106071179344,0.5917655268667132,0.2826238660153524,581,425.2,373.0,-0.38715904896297776,0.24230423220461855,0.0,1.0,0.0,-1.5555555555555556,0.4444444444444444,0.6000000000000001,0.3333333333333333,-0.4,0.2,-0.5714285714285714,-0.9999999999999998,-0.125,-0.5714285714285714,-1.4,-1.0,-1.0
10,VK4SJEZ4YH,fair,1,Niche,242.16,56.0,-0.650974683200552,0.0927199565198922,0.0,0.48,0.52,693.817864619679,182.0,1433,0.1256106071179344,0.5917655268667132,0.2826238660153524,1252,82.8,54.0,-0.8806603227989995,0.22882089699199887,0.0,0.2,0.8,-1.5555555555555556,0.4444444444444444,-1.4,0.3333333333333333,1.2,-1.0,1.4285714285714284,0.9999999999999998,1.0,0.2857142857142857,-0.2,0.6666666666666666,1.0
11,VK4SJEZ4YH,cp,2,Niche,503.44,366.0,-0.274391701810728,0.007382868011651,0.12,0.68,0.2,693.817864619679,182.0,1433,0.1256106071179344,0.5917655268667132,0.2826238660153524,72,380.6,339.0,-0.45144104900119786,0.07921151460373907,0.0,0.8,0.2,-1.5555555555555556,0.4444444444444444,-1.0,0.3333333333333333,-1.0,0.2,0.0,-0.7142857142857142,0.125,-0.42857142857142855,-1.0,0.0,0.5
12,TXY6NZALCS,fair,0,Diverse,111.24,46.0,-0.8521699386287095,0.2608275509900031,0.0,0.08,0.92,752.485651214128,103.0,453,0.1368653421633554,0.4746136865342163,0.3885209713024282,139,297.0,50.0,-0.6053080885717973,0.16240573770766376,0.0,0.2,0.8,-0.1111111111111111,0.2222222222222222,0.4,0.3333333333333333,2.2,0.0,2.571428571428571,1.9999999999999996,2.375,1.7142857142857142,1.2000000000000002,2.0,3.0
13,TXY6NZALCS,base,1,Diverse,938.76,881.0,0.2475453830718502,0.2519134595319442,0.08,0.92,0.0,752.485651214128,103.0,453,0.1368653421633554,0.4746136865342163,0.3885209713024282,60,960.8,418.0,0.2768349781152091,0.22884709400993863,0.2,0.8,0.0,-0.1111111111111111,0.2222222222222222,1.4,1.0,1.2000000000000002,1.2,2.571428571428571,2.7142857142857135,2.75,2.285714285714285,1.7999999999999998,1.3333333333333333,3.0
14,TXY6NZALCS,cp,2,Diverse,890.12,881.0,0.1829062767692651,0.0095773422308688,0.16,0.56,0.28,752.485651214128,103.0,453,0.1368653421633554,0.4746136865342163,0.3885209713024282,51,1028.2,881.0,0.36640479235851175,0.33171316713225,0.0,1.0,0.0,-0.1111111111111111,0.2222222222222222,1.0,2.0,1.6,1.0,2.8571428571428568,2.5714285714285707,2.5,2.571428571428571,2.0,2.0,2.5
15,9SJYDK30YP,base,0,Diverse,700.76,684.0,-0.2373997031723679,0.2658137215386182,0.04,0.96,0.0,918.9086378737542,152.5,1204,0.196843853820598,0.4742524916943522,0.3289036544850498,582,953.6,856.0,0.03775278705238592,0.19483130678377664,0.2,0.8,0.0,-2.1111111111111116,-1.5555555555555554,-0.8,1.0,-1.0000000000000002,0.6000000000000001,1.7142857142857142,-0.14285714285714285,2.125,0.857142857142857,0.6000000000000001,-0.6666666666666666,3.0
16,X7JBGVG2UP,base,0,Diverse,725.88,656.0,-0.0032775125462391,0.1857829588012678,0.04,0.96,0.0,728.2669039145908,204.0,1686,0.1470937129300118,0.5919335705812574,0.2609727164887307,525,689.2,554.0,-0.053643662377897104,0.24218429870669028,0.0,1.0,0.0,-1.5,1.222222222222222,-1.4,1.0,1.6,-2.0,2.4285714285714284,1.4285714285714284,1.5,1.857142857142857,2.2,0.6666666666666666,3.0
17,9SJYDK30YP,fair,1,Diverse,91.12,46.0,-0.9008388905660514,0.3155767457954602,0.0,0.08,0.92,918.9086378737542,152.5,1204,0.196843853820598,0.4742524916943522,0.3289036544850498,343,206.8,51.0,-0.7749504232776495,0.21296725546604595,0.0,0.2,0.8,-2.1111111111111116,-1.5555555555555554,-2.2,-0.3333333333333333,-0.6000000000000001,-0.6000000000000001,-1.0,-1.5714285714285712,0.125,-1.1428571428571426,-2.0,-3.0,0.0
18,9SJYDK30YP,cp,2,Diverse,715.6,684.0,-0.221250110722853,0.0076075646186866,0.2,0.56,0.24,918.9086378737542,152.5,1204,0.196843853820598,0.4742524916943522,0.3289036544850498,111,1188.2,1269.0,0.29305564343083573,0.19521924441793584,0.4,0.6,0.0,-2.1111111111111116,-1.5555555555555554,-0.2,1.3333333333333333,0.6000000000000001,0.0,1.5714285714285714,0.857142857142857,1.25,1.4285714285714284,1.6,-0.3333333333333333,2.5
19,X7JBGVG2UP,fair,1,Diverse,367.44,54.0,-0.4954597029949718,0.1125460686212578,0.04,0.32,0.64,728.2669039145908,204.0,1686,0.1470937129300118,0.5919335705812574,0.2609727164887307,380,112.2,49.0,-0.8459356049315149,0.250217887517977,0.0,0.2,0.8,-1.5,1.222222222222222,-2.2,1.0,1.4,-1.7999999999999998,2.4285714285714284,2.142857142857143,1.625,1.7142857142857142,2.0,1.0,3.0
20,X7JBGVG2UP,cp,2,Diverse,767.28,752.0,0.0535697776127205,0.0037895941959151,0.16,0.64,0.2,728.2669039145908,204.0,1686,0.1470937129300118,0.5919335705812574,0.2609727164887307,132,555.4,554.0,-0.23736751318149174,0.0877238095492793,0.0,0.8,0.2,-1.5,1.222222222222222,-1.0,1.0,1.8,-0.2,2.142857142857143,1.9999999999999996,1.75,1.4285714285714284,2.0,0.6666666666666666,3.0
21,P0V21X6PEW,base,0,Niche,446.84,404.0,-0.1422587582118724,0.2464222057932353,0.0,1.0,0.0,520.9496503496504,132.0,715,0.0937062937062937,0.586013986013986,0.3202797202797203,161,467.2,352.0,-0.10317628644836359,0.24642220579323532,0.0,1.0,0.0,-1.222222222222222,-5.551115123125783e-17,0.2,0.33333333333333337,-1.2000000000000002,1.5999999999999999,0.9999999999999998,0.8571428571428572,1.375,-1.7142857142857144,3.0000000000000004,-3.0,1.5
22,P0V21X6PEW,cp,1,Niche,443.04,352.0,-0.1495531291696981,0.0022237201527614,0.08,0.64,0.28,520.9496503496504,132.0,715,0.0937062937062937,0.586013986013986,0.3202797202797203,78,520.4,379.0,-0.0010550930388022687,0.24642220579323532,0.0,1.0,0.0,-1.222222222222222,-5.551115123125783e-17,0.6,0.0,-2.6,1.4,0.5714285714285714,-1.0,0.0,-2.9999999999999996,1.0,-3.0,1.0
23,P0V21X6PEW,fair,2,Niche,86.2,48.0,-0.8345329535356356,0.3125700154327278,0.0,0.08,0.92,520.9496503496504,132.0,715,0.0937062937062937,0.586013986013986,0.3202797202797203,105,46.0,44.0,-0.9116997199842138,0.4723418644010132,0.0,0.0,1.0,-1.222222222222222,-5.551115123125783e-17,-0.8,0.0,-3.0000000000000004,0.8,-1.7142857142857142,-2.4285714285714284,-0.375,-2.9999999999999996,0.6000000000000001,-3.0,1.0
24,DBJ2VO1P3O,fair,0,Diverse,140.44,48.0,-0.7963938246364286,0.2261609106853081,0.0,0.08,0.92,689.7629688747007,75.0,1253,0.13487629688747,0.4293695131683958,0.435754189944134,582,302.4,53.0,-0.5615885258477357,0.07724690041355048,0.0,0.4,0.6,-0.7222222222222222,0.1111111111111111,-1.6,-0.3333333333333333,-0.6000000000000001,0.8,0.14285714285714285,-0.9999999999999999,1.75,0.2857142857142857,1.0,-1.0,1.0
25,DBJ2VO1P3O,base,1,Diverse,608.6,508.0,-0.1176679128007006,0.3698135029873451,0.0,1.0,0.0,689.7629688747007,75.0,1253,0.13487629688747,0.4293695131683958,0.435754189944134,339,471.2,278.0,-0.3168667770484558,0.3698135029873451,0.0,1.0,0.0,-0.7222222222222222,0.1111111111111111,-0.2,2.0,-0.4,2.8000000000000003,2.4285714285714284,1.4285714285714284,2.375,0.9999999999999999,0.8,1.0,3.0
26,DBJ2VO1P3O,cp,2,Diverse,580.16,396.0,-0.158899468107878,0.0060436223280456,0.12,0.52,0.36,689.7629688747007,75.0,1253,0.13487629688747,0.4293695131683958,0.435754189944134,170,701.4,396.0,0.01687105810316874,0.2634087158555435,0.2,0.8,0.0,-0.7222222222222222,0.1111111111111111,0.0,0.6666666666666666,-0.8,2.4000000000000004,1.7142857142857142,0.9999999999999999,2.125,0.5714285714285714,1.6,0.0,3.0
27,GALWQ910RA,base,0,Niche,737.72,678.0,0.7375501196194434,0.2948467619190697,0.12,0.88,0.0,424.5748031496063,63.0,1016,0.0738188976377952,0.4478346456692913,0.4783464566929133,548,980.2,909.0,1.3086626731700082,0.29729720696159645,0.2,0.8,0.0,0.27777777777777773,-0.9999999999999999,0.4,0.0,-0.8,1.8,1.1428571428571428,0.5714285714285714,1.0,0.857142857142857,1.0,0.3333333333333333,0.5
